state_name,matched_state,state_score,district_name,matched_district,district_score,geoname_id
Meghalaya,Meghalaya,100.0,North Garo Hills,North Garo Hills,100.0,11875538
Meghalaya,Meghalaya,100.0,Ri Bhoi,Ri Bhoi,100.0,7701507
Meghalaya,Meghalaya,100.0,South Garo Hills,South Garo Hills,100.0,9748015
Meghalaya,Meghalaya,100.0,South West Garo Hills,South West Garo Hills,100.0,11875540
Meghalaya,Meghalaya,100.0,South West Khasi Hills,South West Khasi Hills,100.0,11875539
Meghalaya,Meghalaya,100.0,West Garo Hills,West Garo Hills,100.0,8986228
Meghalaya,Meghalaya,100.0,West Jaintia Hills,West Jaintia Hills,100.0,1269523
Meghalaya,Meghalaya,100.0,West Khasi Hills,West Khasi Hills,100.0,7701511
Mizoram,Mizoram,100.0,Champhai,Champhai,100.0,9166019
Mizoram,Mizoram,100.0,Hnahthial,Hnahthial,100.0,12572557
Mizoram,Mizoram,100.0,Khawzawl,Khawzawl,100.0,12572556
Mizoram,Mizoram,100.0,Lawngtlai,Lawngtlai,100.0,9166022
Mizoram,Mizoram,100.0,Saitual,Saitual,100.0,12572555
Nagaland,Nagaland,100.0,Chümoukedima,Chumoukedima,91.66666666666666,12680244
Nagaland,Nagaland,100.0,Kiphire,Kiphire,100.0,9748005
Nagaland,Nagaland,100.0,Niuland,,0.0,
Nagaland,Nagaland,100.0,Noklak,Noklak,100.0,12680254
Nagaland,Nagaland,100.0,Peren,Peren,100.0,8335032
Nagaland,Nagaland,100.0,Phek,Phek,100.0,1259785
Nagaland,Nagaland,100.0,Shamator,,0.0,
Nagaland,Nagaland,100.0,Tseminyü,Tseminyu,87.5,12680265
Odisha,Odisha,100.0,Boudh,Boudh,100.0,8996923
Odisha,Odisha,100.0,Bhadrak,Bhadrak,100.0,7644924
Odisha,Odisha,100.0,Debagarh,Debagarh,100.0,9747968
Odisha,Odisha,100.0,Gajapati,Gajapati,100.0,8533699
Odisha,Odisha,100.0,Jharsuguda,Jharsuguda,100.0,7627179
Odisha,Odisha,100.0,Jagatsinghpur,Jagatsinghpur,100.0,7644925
Odisha,Odisha,100.0,Khordha,Khordha,100.0,7644927
Odisha,Odisha,100.0,Kendujhar,Kendujhar,100.0,1267268
Odisha,Odisha,100.0,Kalahandi,Kalahandi,100.0,1268508
Odisha,Odisha,100.0,Kandhamal,Kandhamal,100.0,7627181
Odisha,Odisha,100.0,Kendrapara,Kendrapara,100.0,7644926
Odisha,Odisha,100.0,Malkangiri,Malkangiri,100.0,7627182
Odisha,Odisha,100.0,Mayurbhanj,Mayurbhanj,100.0,1263245
Odisha,Odisha,100.0,Nabarangpur,Nabarangpur,100.0,8908677
Odisha,Odisha,100.0,Nuapada,Nuapada,100.0,8533697
Odisha,Odisha,100.0,Rayagada,Rayagada,100.0,7627183
Odisha,Odisha,100.0,Subarnapur,Subarnapur,100.0,9748032
Punjab,Punjab,100.0,Fatehgarh Sahib,Fatehgarh Sahib,100.0,7909874
Punjab,Punjab,100.0,Fazilka[a],Fazilka,82.35294117647058,8407166
Punjab,Punjab,100.0,Firozpur,Firozpur,100.0,1271884
Punjab,Punjab,100.0,Gurdaspur,Gurdaspur,100.0,1270648
Punjab,Punjab,100.0,Malerkotla,Malerkotla,100.0,12680250
Punjab,Punjab,100.0,Rupnagar,Rupnagar,100.0,1257953
Punjab,Punjab,100.0,Sahibzada Ajit Singh Nagar,Sahibzada Ajit Singh Nagar,100.0,8407426
Punjab,Punjab,100.0,Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,100.0,8407479
Punjab,Punjab,100.0,Sri Muktsar Sahib,Sri Muktsar Sahib,100.0,7909875
Rajasthan,Rajasthan,100.0,Chittorgarh,Chittorgarh,100.0,1274041
Rajasthan,Rajasthan,100.0,Deeg,,0.0,
Rajasthan,Rajasthan,100.0,Dholpur,Dholpur,100.0,7701204
Rajasthan,Rajasthan,100.0,Didwana Kuchaman,,0.0,
Rajasthan,Rajasthan,100.0,Jalore,Jalore,100.0,1269393
Rajasthan,Rajasthan,100.0,Jhunjhunu,Jhunjhunu,100.0,1268937
Rajasthan,Rajasthan,100.0,Khairthal-Tijara,,0.0,
Rajasthan,Rajasthan,100.0,Kotputli-Behror,,0.0,
Rajasthan,Rajasthan,100.0,Sri Ganganagar,Ganganagar,95.0,1271686
Sikkim,Sikkim,100.0,Gyalshing,Gyalshing,100.0,1252877
Sikkim,Sikkim,100.0,Pakyong,Pakyong,100.0,12680256
Sikkim,Sikkim,100.0,Soreng,Soreng,100.0,12680262
Tamil Nadu,Tamil Nadu,100.0,Chengalpattu,Chengalpattu,100.0,12212751
Tamil Nadu,Tamil Nadu,100.0,Kallakurichi,Kallakurichi,100.0,12212752
Tamil Nadu,Tamil Nadu,100.0,Kanyakumari,Kanyakumari,100.0,1268009
Tamil Nadu,Tamil Nadu,100.0,Nagapattinam,Nagapattinam,100.0,7627073
Tamil Nadu,Tamil Nadu,100.0,Nilgiris,Nilgiris,100.0,1261391
Tamil Nadu,Tamil Nadu,100.0,Ranipet,Ranipet,100.0,12212753
Tamil Nadu,Tamil Nadu,100.0,Tenkasi,Tenkasi,100.0,12212754
Tamil Nadu,Tamil Nadu,100.0,Theni,Theni,100.0,7646155
Tamil Nadu,Tamil Nadu,100.0,Thanjavur,Thanjavur,100.0,1254650
Tamil Nadu,Tamil Nadu,100.0,Tirupattur,Tirupattur,100.0,12212767
Tamil Nadu,Tamil Nadu,100.0,Tiruvarur,Tiruvarur,100.0,7646980
Tamil Nadu,Tamil Nadu,100.0,Viluppuram,Viluppuram,100.0,7646150
Tamil Nadu,Tamil Nadu,100.0,Virudhunagar,Virudhunagar,100.0,7646157
Telangana,Telangana,100.0,Bhadradri Kothagudem,Bhadradri Kothagudem,100.0,11875556
Telangana,Telangana,100.0,Hanamkonda,Hanamkonda,100.0,11875560
Telangana,Telangana,100.0,Jayashankar Bhupalpally,Jayashankar Bhupalapally,97.87234042553192,11875554
Telangana,Telangana,100.0,Jogulamba Gadwal,Jogulamba Gadwal,100.0,11875553
Telangana,Telangana,100.0,Kamareddy,Kamareddy,100.0,11875552
Telangana,Telangana,100.0,Kumuram Bheem Asifabad,Kumuram Bheem Asifabad,100.0,11875577
Telangana,Telangana,100.0,Mahabubabad,Mahabubabad,100.0,11875551
Telangana,Telangana,100.0,Mancherial,Mancherial,100.0,11875550
Telangana,Telangana,100.0,Medchal–Malkajgiri,Medchal Malkajgiri,94.44444444444444,11875548
Telangana,Telangana,100.0,Mulugu,Mulugu,100.0,12572551
Telangana,Telangana,100.0,Nagarkurnool,Nagarkurnool,100.0,11875547
Telangana,Telangana,100.0,Rajanna Sircilla,Rajanna Sircilla,100.0,11875545
Telangana,Telangana,100.0,Ranga Reddy,Ranga Reddy,100.0,7626856
Telangana,Telangana,100.0,Sangareddy,Sangareddy,100.0,11875544
Telangana,Telangana,100.0,Suryapet,Suryapet,100.0,11875541
Telangana,Telangana,100.0,Wanaparthy,Wanaparthy,100.0,11875559
Telangana,Telangana,100.0,Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,100.0,11875561
Tripura,Tripura,100.0,Dhalai,Dhalai,100.0,9747971
Tripura,Tripura,100.0,Gomati,Gomati,100.0,11875562
Tripura,Tripura,100.0,Khowai[a],Khowai,90.0,11875565
Tripura,Tripura,100.0,North Tripura,North Tripura,100.0,1261174
Tripura,Tripura,100.0,Sepahijala[b],Sepahijala,86.95652173913044,11875564
Tripura,Tripura,100.0,South Tripura,South Tripura,100.0,1255671
Tripura,Tripura,100.0,Unakoti[c],Unakoti,82.35294117647058,11875563
Tripura,Tripura,100.0,West Tripura,West Tripura,100.0,1252864
Uttar Pradesh,Uttar Pradesh,100.0,Ambedkar Nagar,Ambedkar Nagar,100.0,7729743
Uttar Pradesh,Uttar Pradesh,100.0,Ayodhya,Ayodhya,100.0,1271977
Uttar Pradesh,Uttar Pradesh,100.0,Bagpat,Bagpat,100.0,9072781
Uttar Pradesh,Uttar Pradesh,100.0,Bahraich,Bahraich,100.0,1277800
Uttar Pradesh,Uttar Pradesh,100.0,Ballia,Ballia,100.0,1277553
Uttar Pradesh,Uttar Pradesh,100.0,Barabanki,Barabanki,100.0,1277159
Uttar Pradesh,Uttar Pradesh,100.0,Chitrakoot,Chitrakoot,100.0,9072788
Uttar Pradesh,Uttar Pradesh,100.0,Etah,Etah,100.0,1271993
Uttar Pradesh,Uttar Pradesh,100.0,Gautam Buddha Nagar,Gautam Buddha Nagar,100.0,9072784
Uttar Pradesh,Uttar Pradesh,100.0,Gonda,Gonda,100.0,1270997
Uttar Pradesh,Uttar Pradesh,100.0,Kanpur Dehat,Kanpur Dehat,100.0,7729747
Uttar Pradesh,Uttar Pradesh,100.0,Kanpur Nagar,Kanpur Nagar,100.0,1267997
Uttar Pradesh,Uttar Pradesh,100.0,Kaushambi,Kaushambi,100.0,9072745
Uttar Pradesh,Uttar Pradesh,100.0,Kushinagar,Kushinagar,100.0,7626229
Uttar Pradesh,Uttar Pradesh,100.0,Lakhimpur Kheri,Kheri,90.0,1266768
Uttar Pradesh,Uttar Pradesh,100.0,Prayagraj,Prayagraj,100.0,1278995
Uttar Pradesh,Uttar Pradesh,100.0,Sant Kabir Nagar,Sant Kabir Nagar,100.0,9748030
Uttar Pradesh,Uttar Pradesh,100.0,Shahjahanpur,Shahjahanpur,100.0,1256729
Uttar Pradesh,Uttar Pradesh,100.0,Shamli[3],Shamli,90.0,11875566
Uttar Pradesh,Uttar Pradesh,100.0,Shravasti,Shravasti,100.0,7626227
Uttar Pradesh,Uttar Pradesh,100.0,Siddharthnagar,Siddharthnagar,100.0,7626228
Uttar Pradesh,Uttar Pradesh,100.0,Sonbhadra,Sonbhadra,100.0,9748013
Uttarakhand,Uttarakhand,100.0,Chamoli,Chamoli,100.0,1274839
Uttarakhand,Uttarakhand,100.0,Dehradun,Dehradun,100.0,9072830
Uttarakhand,Uttarakhand,100.0,Nainital,Nainital,100.0,1262118
Uttarakhand,Uttarakhand,100.0,Pauri Garhwal,Pauri Garhwal,100.0,1271535
Uttarakhand,Uttarakhand,100.0,Tehri Garhwal,Tehri Garhwal,100.0,1254807
Uttarakhand,Uttarakhand,100.0,Udham Singh Nagar,Udham Singh Nagar,100.0,7701516
West Bengal,West Bengal,100.0,Alipurduar,Alipurduar,100.0,11875573
West Bengal,West Bengal,100.0,Birbhum,Birbhum,100.0,1275525
West Bengal,West Bengal,100.0,Cooch Behar,Cooch Behar,100.0,1266437
West Bengal,West Bengal,100.0,Dakshin Dinajpur,Dakshin Dinajpur,100.0,8299687
West Bengal,West Bengal,100.0,Darjeeling,Darjeeling,100.0,1273468
West Bengal,West Bengal,100.0,Hooghly,Hooghly,100.0,1269911
West Bengal,West Bengal,100.0,Howrah,Howrah,100.0,1270397
West Bengal,West Bengal,100.0,Maldah,Maldah,100.0,1264122
West Bengal,West Bengal,100.0,Nadia,Nadia,100.0,1262293
West Bengal,West Bengal,100.0,North 24 Parganas,North 24 Parganas,100.0,8335144
West Bengal,West Bengal,100.0,Paschim Bardhaman,Paschim Bardhaman,100.0,11875580
West Bengal,West Bengal,100.0,Paschim Medinipur,Paschim Medinipur,100.0,8335137
West Bengal,West Bengal,100.0,Purba Bardhaman,Purba Bardhaman,100.0,1277030
West Bengal,West Bengal,100.0,Purba Medinipur,Purba Medinipur,100.0,8335139
West Bengal,West Bengal,100.0,Purulia,Purulia,100.0,1259164
West Bengal,West Bengal,100.0,South 24 Parganas,South 24 Parganas,100.0,8335041
West Bengal,West Bengal,100.0,Uttar Dinajpur,Uttar Dinajpur,100.0,8335142
Andaman and Nicobar,Andaman and Nicobar,100.0,Nicobar,Nicobar,100.0,1261448
Andaman and Nicobar,Andaman and Nicobar,100.0,North and Middle Andaman,North and Middle Andaman,100.0,9748018
Andaman and Nicobar,Andaman and Nicobar,100.0,South Andaman,South Andaman,100.0,1278648
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,100.0,Dadra and Nagar Haveli,Dadra and Nagar Haveli,100.0,9747961
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,100.0,Daman,Daman,100.0,1273616
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,100.0,Diu,Diu,100.0,1272504
Jammu and Kashmir,Jammu and Kashmir,100.0,Budgam,Budgam,100.0,9747938
Jammu and Kashmir,Jammu and Kashmir,100.0,Bandipore,Bandipore,100.0,9747936
Jammu and Kashmir,Jammu and Kashmir,100.0,Baramulla,Baramulla,100.0,1277086
Jammu and Kashmir,Jammu and Kashmir,100.0,Ganderbal,Ganderbal,100.0,9748040
Jammu and Kashmir,Jammu and Kashmir,100.0,Poonch,Poonch,100.0,9747990
Jammu and Kashmir,Jammu and Kashmir,100.0,Rajouri,Rajouri,100.0,1258892
Jammu and Kashmir,Jammu and Kashmir,100.0,Reasi,Reasi,100.0,9747996
Jammu and Kashmir,Jammu and Kashmir,100.0,Shopian,Shopian,100.0,9748009
Ladakh,Ladakh,100.0,Kargil,Kargil,100.0,9748001
Ladakh,Ladakh,100.0,Leh,Leh,100.0,1265343
Lakshadweep,Lakshadweep,100.0,Lakshadweep,Lakshadweep,100.0,9748019
National Capital Territory of Delhi,National Capital Territory of Delhi,100.0,Central Delhi,Central Delhi,100.0,8335421
National Capital Territory of Delhi,National Capital Territory of Delhi,100.0,East Delhi,East Delhi,100.0,8335424
National Capital Territory of Delhi,National Capital Territory of Delhi,100.0,New Delhi,New Delhi,100.0,8347332
National Capital Territory of Delhi,National Capital Territory of Delhi,100.0,North Delhi,North Delhi,100.0,8335422
National Capital Territory of Delhi,National Capital Territory of Delhi,100.0,North East Delhi,North East Delhi,100.0,8335425
National Capital Territory of Delhi,National Capital Territory of Delhi,100.0,North West Delhi,North West Delhi,100.0,8335427
National Capital Territory of Delhi,National Capital Territory of Delhi,100.0,Shahdara,Shahdara,100.0,11875526
National Capital Territory of Delhi,National Capital Territory of Delhi,100.0,South Delhi,South Delhi,100.0,8335423
National Capital Territory of Delhi,National Capital Territory of Delhi,100.0,South East Delhi,South Delhi,95.0,8335423
National Capital Territory of Delhi,National Capital Territory of Delhi,100.0,South West Delhi,South West Delhi,100.0,8335426
National Capital Territory of Delhi,National Capital Territory of Delhi,100.0,West Delhi,West Delhi,100.0,8335458
Puducherry,Puducherry,100.0,Mahé,,0.0,
Puducherry,Puducherry,100.0,Yanam,Yanam,100.0,1252796
